State,Number of CoCs,Overall Homeless,Overall Homeless - Under 18,Overall Homeless - Age 18 to 24,Overall Homeless - Female,Overall Homeless - Male,Overall Homeless - Transgender,Overall Homeless - Non-Hispanic/Non-Latin(o)(a)(x),Overall Homeless - Hispanic/Latin(o)(a)(x),Overall Homeless - White,"Overall Homeless - Black, African American, or African",Overall Homeless - Asian or Asian American,"Overall Homeless - American Indian, Alaska Native, or Indigenous",Overall Homeless - Native Hawaiian or Other Pacific Islander,Year
AS,0,19416,3904,1622,7602,11646,86,15109,4262,9353,7706,235,579,303,2020
AZ,3,10979,1722,824,4228,6694,43,8624,2355,6901,2289,77,1027,60,2020
CA,44,161548,16141,13391,53505,105737,1601,109582,51966,87439,49610,3240,6386,1784,2020
CO,4,9846,1364,734,3198,6562,53,7565,2281,6411,1808,51,527,136,2020
CT,2,2905,585,208,1107,1785,6,2058,847,1519,1065,16,34,10,2020
DC,1,6380,1432,548,2577,3746,48,5823,557,506,5618,38,26,20,2020
DE,1,1165,266,71,463,701,0,1064,101,412,678,3,7,1,2020
FL,27,27487,4637,1588,9743,17670,52,23442,4045,15102,11042,128,328,73,2020
GA,9,10234,1667,530,3743,6340,44,9714,520,3031,6708,92,64,21,2020
GU,1,790,291,81,357,431,2,771,19,21,3,14,1,727,2020
HI,2,6458,1101,396,2521,3874,36,5523,935,1469,295,564,83,2160,2020
IA,3,2647,535,200,993,1642,9,2464,183,1760,596,19,121,9,2020
ID,2,2315,592,149,1035,1276,3,1901,414,1904,52,13,230,17,2020
IL,19,10431,2212,958,4300,6096,32,9302,1129,3671,6333,96,82,21,2020
IN,2,5625,978,352,2182,3420,16,5278,347,3492,1783,37,50,21,2020
KS,5,2449,407,213,928,1516,3,2184,265,1512,553,15,96,2,2020
KY,3,4011,581,268,1607,2393,8,3875,136,2826,996,19,22,20,2020
LA,7,3173,396,275,967,2192,11,3085,88,1165,1908,21,29,5,2020
MA,13,17975,7092,1404,8891,9039,33,11790,6185,9903,6538,198,86,87,2020
MD,16,6360,1215,346,2568,3753,31,5994,366,2211,3755,56,60,26,2020
ME,1,2097,480,149,940,1143,8,2013,84,1631,310,3,48,7,2020
MI,20,8638,2239,658,3770,4855,8,8154,484,4023,3937,53,100,29,2020
MN,10,7940,2140,932,3408,4485,25,7295,645,3016,3302,145,795,50,2020
MO,8,6527,1482,693,2952,3540,23,6201,326,3522,2489,35,87,22,2020
MP,1,1207,409,117,576,631,0,1207,0,7,0,438,0,758,2020
MS,3,1107,165,53,395,709,3,1089,18,512,554,3,11,5,2020
MT,1,1545,328,98,630,896,10,1398,147,1087,51,4,300,10,2020
NC,12,9280,1634,561,3614,5646,18,8820,460,4060,4757,30,93,20,2020
ND,1,541,115,46,226,314,1,501,40,285,95,1,131,1,2020
NE,3,2404,463,181,897,1501,6,2075,329,1588,543,22,71,15,2020
NH,3,1675,373,118,735,935,5,1491,184,1474,98,16,6,7,2020
NJ,16,9662,2053,717,4030,5614,14,7690,1972,3681,5418,58,88,48,2020
NM,2,3333,482,221,1197,2103,19,2008,1325,2011,227,14,831,38,2020
NV,3,6900,383,549,2050,4839,11,5856,1044,4394,1884,128,147,121,2020
NY,24,91271,27968,8199,41881,48905,442,60412,30859,21777,62198,937,500,1248,2020
OH,9,10655,1999,842,4210,6400,43,10168,487,5350,4662,54,78,22,2020
OK,8,3932,490,305,1402,2500,24,3642,290,2451,815,13,411,9,2020
OR,8,14655,2030,944,5443,9072,72,13271,1384,11916,839,112,711,167,2020
PA,16,13375,3048,1000,5388,7910,60,11632,1743,5854,6793,65,62,56,2020
