Date,State,School,Fatalities,Wounded,Total
03/12/2014,Florida,ES,1,0,1
3/25/2014,Georgia,HS,0,0,0
04/09/2014,North Carolina,HS,0,0,0
04/11/2014,Michigan,HS,1,0,1
05/04/2014,Georgia,C,0,1,1
05/05/2014,Georgia,C,0,1,1
05/08/2014,Georgia,C,0,1,1
5/14/2014,California,HS,0,1,1
06/05/2014,Washington,C,1,2,3
06/10/2014,Oregon,HS,2,1,3
09/09/2014,Florida,-,0,1,1
9/27/2014,Indiana,C,0,1,1
9/30/2014,North Carolina,HS,0,1,1
9/30/2014,Kentucky,HS,0,1,1
10/03/2014,Georgia,HS,1,0,1
10/24/2014,Washington,HS,5,1,6
11/20/2014,Florida,C,1,3,4
11/20/2014,Florida,HS,1,1,2
12/05/2014,Oklahoma,C,1,0,1
12/12/2014,Oregon,HS,0,4,4
1/15/2015,Wisconsin,HS,0,3,3
1/16/2015,Florida,-,0,2,2
02/04/2015,Maryland,HS,0,2,2
2/14/2015,California,MS,1,0,1
2/23/2015,Florida,C,0,3,3
3/30/2015,Missouri,ES,0,1,1
4/13/2015,North Carolina,C,1,0,1
4/16/2015,Louisiana,MS,0,1,1
4/27/2015,Washington,HS,0,0,0
05/12/2015,Florida,HS,0,2,2
5/24/2015,Michigan,HS,0,7,7
8/27/2015,Georgia,C,1,0,1
09/03/2015,California,C,1,2,3
9/14/2015,Mississippi,C,2,0,2
9/30/2015,South Dakota,HS,0,1,1
10/01/2015,Oregon,C,10,9,19
10/09/2015,Arizona,C,1,3,4
10/09/2015,Texas,C,1,1,2
10/22/2015,Tennessee,C,1,3,4
11/01/2015,North Carolina,C,1,1,2
11/20/2015,Nevada,HS,1,0,1
1/22/2016,Indiana,HS,0,1,1
1/29/2016,Pennsylvania,HS,0,0,0
02/09/2016,Michigan,HS,0,4,4
02/12/2016,Arizona,HS,2,0,2
2/29/2016,Ohio,HS,0,4,4
4/23/2016,Wisconsin,HS,1,2,3
06/01/2016,California,C,2,0,2
06/08/2016,Massachusetts,HS,1,3,4
09/06/2016,Maine,HS,1,0,1
09/09/2016,Texas,HS,1,2,3
9/28/2016,South Carolina,ES,2,2,4
10/11/2016,Alabama,HS,0,1,1
10/13/2016,Ohio,HS,0,2,2
10/18/2016,California,HS,0,4,4
10/25/2016,Utah,MS,0,1,1
